European Union,per hour in EUR****,,last adjustment,,"per hour in PPP (purchasing power parities, EUR)*****",,
Luxembourg,13.80,,01/01/2023,,Germany,,10.55
Germany,12.00,,01/10/2022,,Belgium,,9.91
Belgium,11.85,,01/12/2022,,Luxembourg,,9.89
Netherlands,11.75,,01/01/2023,,Netherlands,,9.62
Ireland,11.30,,01/01/2023,,France,,9.50
France,11.27,,01/01/2023,,Poland,,7.93
Slovenia,6.96,,01/01/2023,,Ireland,,7.65
Spain,6.55,,01/01/2023,,Slovenia,,7.48
Cyprus,5.70,,01/01/2023,,Lithuania,,6.78
Lithuania,5.14,,01/01/2023,,Spain,,6.40
Poland,4.87,,01/01/2023,,Romania,,6.29
Malta,4.82,,01/01/2023,,Cyprus,,5.97
Portugal,4.50,,01/01/2023,,Croatia,,5.38
Estonia,4.30,,01/01/2023,,Hungary,,5.27
Czech Republic,4.23,,01/01/2023,,Malta,,5.21
Greece,4.12,,01/05/2022,,Czech Republic,,4.82
Croatia,4.05,,01/01/2023,,Portugal,,4.77
Slovakia,4.02,,01/01/2023,,Estonia,,4.71
Latvia,3.67,,01/01/2023,,Greece,,4.48
Romania,3.64,,01/01/2023,,Latvia,,4.39
Hungary,3.41,,01/01/2023,,Slovakia,,4.25
Bulgaria,2.41,,01/01/2023,,Bulgaria,,4.12
